grade,faculty,department,price,purpose1,purpose2,purpose3,freaquency,gender,class label
นักศึกษาชั้นปีที่ 5,คณะวิศวกรรมศาสตร์,วิศวกรรมชีวการแพทย์,"มากกว่า 30,000 บาท",เล่นเกม,การศึกษา,การศึกษา,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 1,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,"15,001 - 20,000 บาท",การศึกษา,"เขียนเเบบ , ออกแบบแผนผังต่าง ๆ","เขียนเเบบ , ออกแบบแผนผังต่าง ๆ",3-5วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 1,คณะวิทยาศาสตร์,สถิติ,"10,001 - 15,000 บาท",สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),การศึกษา,การศึกษา,3-5วัน,LGBT+,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิศวกรรมศาสตร์,วิศวกรรมการวัดและควบคุม,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,LGBT+,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 2,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,"10,001 - 15,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",เล่นเกม,เขียนโปรแกรม,เขียนโปรแกรม,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"15,001 - 20,000 บาท",เล่นเกม,เขียนโปรแกรม,เขียนโปรแกรม,3-5วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"20,001 - 25,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ไม่พกพาเลย,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"มากกว่า 30,000 บาท",การศึกษา,เขียนโปรแกรม,เขียนโปรแกรม,ทุกวัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"15,001 - 20,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,หญิง,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"25,001 - 30,000 บาท",การศึกษา,วาดรูป,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),ทุกวัน,หญิง,Laptop (Notebook)
นักศึกษาชั้นปีที่ 4,คณะวิศวกรรมศาสตร์,วิศวกรรมอิเล็กทรอนิกส์,"25,001 - 30,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),วาดรูป,ทุกวัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,"10,001 - 15,000 บาท",การศึกษา,เล่นเกม,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),3-5วัน,ชาย,"Tablet (Ipad , Galaxy Tabs)"
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,วิทยาการคอมพิมเตอร์,"25,001 - 30,000 บาท",เขียนโปรแกรม,การศึกษา,เล่นเกม,1-2วัน,ชาย,Laptop (Notebook)
นักศึกษาชั้นปีที่ 3,คณะวิทยาศาสตร์,คณิตศาสตร์,"25,001 - 30,000 บาท",การศึกษา,สื่อบันเทิง (สตรีมมิ่งเพลงและวิดีโอต่าง ๆ),เขียนโปรแกรม,ไม่พกพาเลย,ชาย,Laptop (Notebook)
